LGDNG_CD,CTPV_NM,CTGG_NM,ADSTRD_NM,ADSTRD_EN_NM,LGDNG_NM,LGDNG_EN_NM,ADSTRD_CD
1100000000,서울특별시,서울특별시,서울특별시,Seoul,서울특별시,,1100000000
1111000000,서울특별시,종로구,종로구,Jongno-gu,종로구,,1111000000
1111010100,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,청운동,Cheongun-dong,1111051500
1111010200,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,신교동,Singyo-dong,1111051500
1111010300,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,궁정동,Gungjeong-dong,1111051500
1111010400,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,효자동,Hyoja-dong,1111051500
1111010500,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,창성동,Changseong-dong,1111051500
1111010800,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,통인동,Tongin-dong,1111051500
1111010900,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,누상동,Nusang-dong,1111051500
1111011000,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,누하동,Nuha-dong,1111051500
1111011100,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,옥인동,Ogin-dong,1111051500
1111011900,서울특별시,종로구,청운효자동,Cheongunhyoja-dong,세종로,Sejongno,1111051500
1111010600,서울특별시,종로구,사직동,Sajik-dong,통의동,Tongui-dong,1111053000
1111010700,서울특별시,종로구,사직동,Sajik-dong,적선동,Jeokseon-dong,1111053000
1111011200,서울특별시,종로구,사직동,Sajik-dong,체부동,Chebu-dong,1111053000
1111011300,서울특별시,종로구,사직동,Sajik-dong,필운동,Pirun-dong,1111053000
1111011400,서울특별시,종로구,사직동,Sajik-dong,내자동,Naeja-dong,1111053000
1111011500,서울특별시,종로구,사직동,Sajik-dong,사직동,Sajik-dong,1111053000
1111011600,서울특별시,종로구,사직동,Sajik-dong,도렴동,Doryeom-dong,1111053000
1111011700,서울특별시,종로구,사직동,Sajik-dong,당주동,Dangju-dong,1111053000
1111011800,서울특별시,종로구,사직동,Sajik-dong,내수동,Naesu-dong,1111053000
1111011900,서울특별시,종로구,사직동,Sajik-dong,세종로,Sejongno,1111053000
1111012000,서울특별시,종로구,사직동,Sajik-dong,신문로1가,Sinmunno 1(il)-ga,1111053000
1111012100,서울특별시,종로구,사직동,Sajik-dong,신문로2가,Sinmunno 2(i)-ga,1111053000
1111013900,서울특별시,종로구,삼청동,Samcheong-dong,팔판동,Palpan-dong,1111054000
1111014000,서울특별시,종로구,삼청동,Samcheong-dong,삼청동,Samcheong-dong,1111054000
1111014100,서울특별시,종로구,삼청동,Samcheong-dong,안국동,Anguk-dong,1111054000
1111014200,서울특별시,종로구,삼청동,Samcheong-dong,소격동,Sogyeok-dong,1111054000
1111014300,서울특별시,종로구,삼청동,Samcheong-dong,화동,Hwa-dong,1111054000
1111014400,서울특별시,종로구,삼청동,Samcheong-dong,사간동,Sagan-dong,1111054000
1111014500,서울특별시,종로구,삼청동,Samcheong-dong,송현동,Songhyeon-dong,1111054000
1111018400,서울특별시,종로구,부암동,Buam-dong,부암동,Buam-dong,1111055000
1111018500,서울특별시,종로구,부암동,Buam-dong,홍지동,Hongji-dong,1111055000
1111018600,서울특별시,종로구,부암동,Buam-dong,신영동,Sinyeong-dong,1111055000
1111018200,서울특별시,종로구,평창동,Pyeongchang-dong,구기동,Gugi-dong,1111056000
1111018300,서울특별시,종로구,평창동,Pyeongchang-dong,평창동,Pyeongchang-dong,1111056000
1111018700,서울특별시,종로구,무악동,Muak-dong,무악동,Muak-dong,1111057000
1111017600,서울특별시,종로구,교남동,Gyonam-dong,교남동,Gyonam-dong,1111058000
1111017700,서울특별시,종로구,교남동,Gyonam-dong,평동,Pyeong-dong,1111058000
1111017800,서울특별시,종로구,교남동,Gyonam-dong,송월동,Songwol-dong,1111058000
1111017900,서울특별시,종로구,교남동,Gyonam-dong,홍파동,Hongpa-dong,1111058000
1111018000,서울특별시,종로구,교남동,Gyonam-dong,교북동,Gyobuk-dong,1111058000
1111018100,서울특별시,종로구,교남동,Gyonam-dong,행촌동,Haengchon-dong,1111058000
1111014600,서울특별시,종로구,가회동,Gahoe-dong,가회동,Gahoe-dong,1111060000
1111014700,서울특별시,종로구,가회동,Gahoe-dong,재동,Jae-dong,1111060000
1111014800,서울특별시,종로구,가회동,Gahoe-dong,계동,Gye-dong,1111060000
1111014900,서울특별시,종로구,가회동,Gahoe-dong,원서동,Wonseo-dong,1111060000
1111011900,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,세종로,Sejongno,1111061500
1111012200,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,청진동,Cheongjin-dong,1111061500
1111012300,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,서린동,Seorin-dong,1111061500
1111012400,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,수송동,Susong-dong,1111061500
1111012500,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,중학동,Junghak-dong,1111061500
1111012600,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,종로1가,Jongno 1(il)-ga,1111061500
1111012700,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,공평동,Gongpyeong-dong,1111061500
1111012800,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,관훈동,Gwanhun-dong,1111061500
1111012900,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,견지동,Gyeonji-dong,1111061500
1111013000,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,와룡동,Waryong-dong,1111061500
1111013100,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,권농동,Gwonnong-dong,1111061500
1111013200,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,운니동,Unni-dong,1111061500
1111013300,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,익선동,Ikseon-dong,1111061500
1111013400,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,경운동,Gyeongun-dong,1111061500
1111013500,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,관철동,Gwancheol-dong,1111061500
1111013600,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,인사동,Insa-dong,1111061500
1111013700,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,낙원동,Nagwon-dong,1111061500
1111013800,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,종로2가,Jongno 2(i)-ga,1111061500
1111015000,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,훈정동,Hunjeong-dong,1111061500
1111015100,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,묘동,Myo-dong,1111061500
1111015200,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,봉익동,Bongik-dong,1111061500
1111015300,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,돈의동,Donui-dong,1111061500
1111015400,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,장사동,Jangsa-dong,1111061500
1111015500,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,관수동,Gwansu-dong,1111061500
1111015600,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,종로3가,Jongno 3(sam)-ga,1111061500
1111015700,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,인의동,Inui-dong,1111061500
1111015800,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,예지동,Yeji -dong,1111061500
1111015900,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,원남동,Wonnam-dong,1111061500
1111016100,서울특별시,종로구,종로1.2.3.4가동,Jongno 1.2.3.4(ilisamsa)-ga-dong,종로4가,Jongno 4(sa)-ga,1111061500
1111016000,서울특별시,종로구,종로5.6가동,Jongno 5.6(oryuk)-ga-dong,연지동,Yeonji-dong,1111063000
1111016200,서울특별시,종로구,종로5.6가동,Jongno 5.6(oryuk)-ga-dong,효제동,Hyoje-dong,1111063000
1111016300,서울특별시,종로구,종로5.6가동,Jongno 5.6(oryuk)-ga-dong,종로5가,Jongno 5(o)-ga,1111063000
1111016400,서울특별시,종로구,종로5.6가동,Jongno 5.6(oryuk)-ga-dong,종로6가,Jongno 6(yuk)-ga,1111063000
1111016700,서울특별시,종로구,종로5.6가동,Jongno 5.6(oryuk)-ga-dong,충신동,Chungsin-dong,1111063000
1111016500,서울특별시,종로구,이화동,Ihwa-dong,이화동,Ihwa-dong,1111064000
1111016600,서울특별시,종로구,이화동,Ihwa-dong,연건동,Yeongeon-dong,1111064000
1111016800,서울특별시,종로구,이화동,Ihwa-dong,동숭동,Dongsung-dong,1111064000
1111013000,서울특별시,종로구,혜화동,Hyehwa-dong,와룡동,Waryong-dong,1111065000
1111016900,서울특별시,종로구,혜화동,Hyehwa-dong,혜화동,Hyehwa-dong,1111065000
1111017000,서울특별시,종로구,혜화동,Hyehwa-dong,명륜1가,Myeongnyun 1(il)-ga,1111065000
1111017100,서울특별시,종로구,혜화동,Hyehwa-dong,명륜2가,Myeongnyun 2(i)-ga,1111065000
1111017200,서울특별시,종로구,혜화동,Hyehwa-dong,명륜4가,Myeongnyun 4(sa)-ga,1111065000
1111017300,서울특별시,종로구,혜화동,Hyehwa-dong,명륜3가,Myeongnyun 3(sam)-ga,1111065000
1111017400,서울특별시,종로구,창신1동,Changsin 1(il)-dong,창신동,Changsin-dong,1111067000
1111017400,서울특별시,종로구,창신2동,Changsin 2(i)-dong,창신동,Changsin-dong,1111068000
1111017400,서울특별시,종로구,창신3동,Changsin 3(sam)-dong,창신동,Changsin-dong,1111069000
1111017500,서울특별시,종로구,숭인1동,Sungin 1(il)-dong,숭인동,Sungin-dong,1111070000
1111017500,서울특별시,종로구,숭인2동,Sungin 2(i)-dong,숭인동,Sungin-dong,1111071000
1114000000,서울특별시,중구,중구,Jung-gu,중구,,1114000000
1114011100,서울특별시,중구,소공동,Sogong-dong,소공동,Sogong-dong,1114052000
1114011300,서울특별시,중구,소공동,Sogong-dong,북창동,Bukchang-dong,1114052000
1114011400,서울특별시,중구,소공동,Sogong-dong,태평로2가,Taepyeongno 2(i)-ga,1114052000
1114011500,서울특별시,중구,소공동,Sogong-dong,남대문로2가,Namdaemunno 2(i)-ga,1114052000
1114011600,서울특별시,중구,소공동,Sogong-dong,남대문로3가,Namdaemunno 3(sam)-ga,1114052000
1114011700,서울특별시,중구,소공동,Sogong-dong,남대문로4가,Namdaemunno 4(sa)-ga,1114052000
1114011900,서울특별시,중구,소공동,Sogong-dong,봉래동1가,Bongnae-dong 1(il)-ga,1114052000
1114016600,서울특별시,중구,소공동,Sogong-dong,서소문동,Seosomun-dong,1114052000
1114016700,서울특별시,중구,소공동,Sogong-dong,정동,Jeong-dong,1114052000
1114016800,서울특별시,중구,소공동,Sogong-dong,순화동,Sunhwa-dong,1114052000
1114016900,서울특별시,중구,소공동,Sogong-dong,의주로1가,Uijuro 1(il)-ga,1114052000
1114017000,서울특별시,중구,소공동,Sogong-dong,충정로1가,Chungjeongno 1(il)-ga,1114052000
1114011200,서울특별시,중구,회현동,Hoehyeon-dong,남창동,Namchang-dong,1114054000
1114011600,서울특별시,중구,회현동,Hoehyeon-dong,남대문로3가,Namdaemunno 3(sam)-ga,1114054000
1114011700,서울특별시,중구,회현동,Hoehyeon-dong,남대문로4가,Namdaemunno 4(sa)-ga,1114054000
1114011800,서울특별시,중구,회현동,Hoehyeon-dong,남대문로5가,Namdaemunno 5(o)-ga,1114054000
1114011900,서울특별시,중구,회현동,Hoehyeon-dong,봉래동1가,Bongnae-dong 1(il)-ga,1114054000
1114012000,서울특별시,중구,회현동,Hoehyeon-dong,봉래동2가,Bongnae-dong 2(i)-ga,1114054000
1114012100,서울특별시,중구,회현동,Hoehyeon-dong,회현동1가,Hoehyeon-dong 1(il)-ga,1114054000
1114012200,서울특별시,중구,회현동,Hoehyeon-dong,회현동2가,Hoehyeon-dong 2(i)-ga,1114054000
1114012400,서울특별시,중구,회현동,Hoehyeon-dong,충무로1가,Chungmuro 1(il)-ga,1114054000
1114016800,서울특별시,중구,회현동,Hoehyeon-dong,순화동,Sunhwa-dong,1114054000
1114010100,서울특별시,중구,명동,Myeong-dong,무교동,Mugyo-dong,1114055000
1114010200,서울특별시,중구,명동,Myeong-dong,다동,Da-dong,1114055000
1114010300,서울특별시,중구,명동,Myeong-dong,태평로1가,Taepyeongno 1(il)-ga,1114055000
1114010400,서울특별시,중구,명동,Myeong-dong,을지로1가,Euljiro 1(il)-ga,1114055000
1114010500,서울특별시,중구,명동,Myeong-dong,을지로2가,Euljiro 2(i)-ga,1114055000
1114010600,서울특별시,중구,명동,Myeong-dong,남대문로1가,Namdaemunno 1(il)-ga,1114055000
1114010700,서울특별시,중구,명동,Myeong-dong,삼각동,Samgak-dong,1114055000
1114010800,서울특별시,중구,명동,Myeong-dong,수하동,Suha-dong,1114055000
1114010900,서울특별시,중구,명동,Myeong-dong,장교동,Janggyo-dong,1114055000
1114011000,서울특별시,중구,명동,Myeong-dong,수표동,Supyo-dong,1114055000
1114011500,서울특별시,중구,명동,Myeong-dong,남대문로2가,Namdaemunno 2(i)-ga,1114055000
1114012100,서울특별시,중구,명동,Myeong-dong,회현동1가,Hoehyeon-dong 1(il)-ga,1114055000
1114012200,서울특별시,중구,명동,Myeong-dong,회현동2가,Hoehyeon-dong 2(i)-ga,1114055000
1114012300,서울특별시,중구,명동,Myeong-dong,회현동3가,Hoehyeon-dong 3(sam)-ga,1114055000
1114012400,서울특별시,중구,명동,Myeong-dong,충무로1가,Chungmuro 1(il)-ga,1114055000
1114012500,서울특별시,중구,명동,Myeong-dong,충무로2가,Chungmuro 2(i)-ga,1114055000
1114012600,서울특별시,중구,명동,Myeong-dong,명동1가,Myeong-dong 1(il)-ga,1114055000
1114012700,서울특별시,중구,명동,Myeong-dong,명동2가,Myeong-dong 2(i)-ga,1114055000
1114012800,서울특별시,중구,명동,Myeong-dong,남산동1가,Namsan-dong 1(il)-ga,1114055000
1114012900,서울특별시,중구,명동,Myeong-dong,남산동2가,Namsan-dong 2(i)-ga,1114055000
1114013000,서울특별시,중구,명동,Myeong-dong,남산동3가,Namsan-dong 3(sam)-ga,1114055000
1114013100,서울특별시,중구,명동,Myeong-dong,저동1가,Jeo-dong 1(il)-ga,1114055000
1114014200,서울특별시,중구,명동,Myeong-dong,예장동,Yejang-dong,1114055000
1114013200,서울특별시,중구,필동,Pil-dong,충무로4가,Chungmuro 4(sa)-ga,1114057000
1114013300,서울특별시,중구,필동,Pil-dong,충무로5가,Chungmuro 5(o)-ga,1114057000
1114013600,서울특별시,중구,필동,Pil-dong,묵정동,Mukjeong-dong,1114057000
1114013700,서울특별시,중구,필동,Pil-dong,필동1가,Pil-dong 1(il)-ga,1114057000
1114013800,서울특별시,중구,필동,Pil-dong,필동2가,Pildong 2(i)-ga,1114057000
1114013900,서울특별시,중구,필동,Pil-dong,필동3가,Pil-dong 3(sam)-ga,1114057000
1114014000,서울특별시,중구,필동,Pil-dong,남학동,Namhak-dong,1114057000
1114014100,서울특별시,중구,필동,Pil-dong,주자동,Juja-dong,1114057000
1114014200,서울특별시,중구,필동,Pil-dong,예장동,Yejang-dong,1114057000
1114014400,서울특별시,중구,필동,Pil-dong,장충동2가,Jangchung-dong 2(i)-ga,1114057000
1114015800,서울특별시,중구,필동,Pil-dong,충무로3가,Chungmuro 3(sam)-ga,1114057000
1114013600,서울특별시,중구,장충동,Jangchung-dong,묵정동,Mukjeong-dong,1114058000
1114014300,서울특별시,중구,장충동,Jangchung-dong,장충동1가,Jangchung-dong 1(il)-ga,1114058000
1114014400,서울특별시,중구,장충동,Jangchung-dong,장충동2가,Jangchung-dong 2(i)-ga,1114058000
1114013200,서울특별시,중구,광희동,Gwanghui-dong ,충무로4가,Chungmuro 4(sa)-ga,1114059000
1114013300,서울특별시,중구,광희동,Gwanghui-dong ,충무로5가,Chungmuro 5(o)-ga,1114059000
1114013400,서울특별시,중구,광희동,Gwanghui-dong ,인현동2가,Inhyeon-dong 2(i)-ga,1114059000
1114013500,서울특별시,중구,광희동,Gwanghui-dong ,예관동,Yegwan-dong,1114059000
1114014500,서울특별시,중구,광희동,Gwanghui-dong ,광희동1가,Gwanghui-dong 1(il)-ga,1114059000
1114014600,서울특별시,중구,광희동,Gwanghui-dong ,광희동2가,Gwanghui-dong 2(i)-ga,1114059000
1114014700,서울특별시,중구,광희동,Gwanghui-dong ,쌍림동,Ssangnim-dong,1114059000
1114014800,서울특별시,중구,광희동,Gwanghui-dong ,을지로6가,Euljiro 6(yuk)-ga,1114059000
1114014900,서울특별시,중구,광희동,Gwanghui-dong ,을지로7가,Euljiro 7(chil)-ga,1114059000
1114015400,서울특별시,중구,광희동,Gwanghui-dong ,오장동,Ojang-dong,1114059000
1114015000,서울특별시,중구,을지로동,Euljiro-dong,을지로4가,Euljiro 4(sa)-ga,1114060500
1114015100,서울특별시,중구,을지로동,Euljiro-dong,을지로5가,Euljiro 5(o)-ga,1114060500
1114015200,서울특별시,중구,을지로동,Euljiro-dong,주교동,Jugyo-dong,1114060500
1114015300,서울특별시,중구,을지로동,Euljiro-dong,방산동,Bangsan-dong,1114060500
1114015500,서울특별시,중구,을지로동,Euljiro-dong,을지로3가,Euljiro 3(sam)-ga,1114060500
1114015600,서울특별시,중구,을지로동,Euljiro-dong,입정동,Ipjeong-dong,1114060500
1114015700,서울특별시,중구,을지로동,Euljiro-dong,산림동,Sallim-dong,1114060500
1114015900,서울특별시,중구,을지로동,Euljiro-dong,초동,Cho-dong,1114060500
1114016000,서울특별시,중구,을지로동,Euljiro-dong,인현동1가,Inhyeon-dong 1(il)-ga,1114060500
1114016100,서울특별시,중구,을지로동,Euljiro-dong,저동2가,Jeo-dong 2(i)-ga,1114060500
1114016200,서울특별시,중구,신당동,Sindang-dong,신당동,Sindang-dong,1114061500
1114016300,서울특별시,중구,신당동,Sindang-dong,흥인동,Heungin-dong,1114061500
1114016400,서울특별시,중구,신당동,Sindang-dong,무학동,Muhak-dong,1114061500
1114016200,서울특별시,중구,다산동,Dasan-dong,신당동,Sindang-dong,1114062500
1114016200,서울특별시,중구,약수동,Yaksu-dong,신당동,Sindang-dong,1114063500
1114016200,서울특별시,중구,청구동,Cheonggu-dong,신당동,Sindang-dong,1114064500
1114016200,서울특별시,중구,신당5동,Sindang 5(o)-dong,신당동,Sindang-dong,1114065000
1114016200,서울특별시,중구,동화동,Donghwa-dong,신당동,Sindang-dong,1114066500
1114016500,서울특별시,중구,황학동,Hwanghak-dong,황학동,Hwanghak-dong,1114067000
1114017100,서울특별시,중구,중림동,Jungnim-dong,중림동,Jungnim-dong,1114068000
1114017200,서울특별시,중구,중림동,Jungnim-dong,의주로2가,Uijuro 2(i)-ga,1114068000
1114017300,서울특별시,중구,중림동,Jungnim-dong,만리동1가,Malli-dong 1(il)-ga,1114068000
1114017400,서울특별시,중구,중림동,Jungnim-dong,만리동2가,Malli-dong 2(i)-ga,1114068000
1117000000,서울특별시,용산구,용산구,Yongsan-gu,용산구,,1117000000
1117010100,서울특별시,용산구,후암동,Huam-dong,후암동,Huam-dong,1117051000
1117010200,서울특별시,용산구,용산2가동,Yongsan 2-ga-dong,용산동2가,yongsan-dong  2(i)-ga,1117052000
1117010300,서울특별시,용산구,용산2가동,Yongsan 2-ga-dong,용산동4가,Yongsan-dong 4(sa)-ga,1117052000
1117010400,서울특별시,용산구,남영동,Namyeong-dong,갈월동,Garwol-dong,1117053000
1117010500,서울특별시,용산구,남영동,Namyeong-dong,남영동,Namyeong-dong,1117053000
1117010600,서울특별시,용산구,남영동,Namyeong-dong,용산동1가,Yongsan-dong 1(il)-ga,1117053000
1117010700,서울특별시,용산구,남영동,Namyeong-dong,동자동,Dongja-dong,1117053000
1117010800,서울특별시,용산구,청파동,Cheongpa-dong,서계동,Seogye-dong,1117055500
1117010900,서울특별시,용산구,청파동,Cheongpa-dong,청파동1가,Cheongpa-dong 1(il)-ga,1117055500
1117011000,서울특별시,용산구,청파동,Cheongpa-dong,청파동2가,Cheongpa-dong 2(i)-ga,1117055500
1117011100,서울특별시,용산구,청파동,Cheongpa-dong,청파동3가,Cheongpa-dong 3(sam)-ga,1117055500
1117011200,서울특별시,용산구,원효로1동,Wonhyoro 1(il)-dong,원효로1가,Wonhyoro 1(iI)-ga,1117056000
1117011300,서울특별시,용산구,원효로1동,Wonhyoro 1(il)-dong,원효로2가,Wonhyoro 2(i)-ga,1117056000
1117012200,서울특별시,용산구,원효로1동,Wonhyoro 1(il)-dong,문배동,Munbae-dong,1117056000
1117012300,서울특별시,용산구,원효로1동,Wonhyoro 1(il)-dong,신계동,Singye-dong,1117056000
1117011400,서울특별시,용산구,원효로2동,Wonhyoro 2(i)-dong,신창동,Sinchang-dong,1117057000
1117011500,서울특별시,용산구,원효로2동,Wonhyoro 2(i)-dong,산천동,Sancheon-dong,1117057000
1117011600,서울특별시,용산구,원효로2동,Wonhyoro 2(i)-dong,청암동,Cheongam-dong,1117057000
1117011700,서울특별시,용산구,원효로2동,Wonhyoro 2(i)-dong,원효로3가,Wonhyoro 3(sam)-ga,1117057000
1117011800,서울특별시,용산구,원효로2동,Wonhyoro 2(i)-dong,원효로4가,Wonhyoro 4(sa)-ga,1117057000
1117011900,서울특별시,용산구,효창동,Hyochang-dong,효창동,Hyochang-dong,1117058000
1117012000,서울특별시,용산구,용문동,Yongmun-dong,도원동,Dowon-dong,1117059000
1117012100,서울특별시,용산구,용문동,Yongmun-dong,용문동,Yongmun-dong,1117059000
1117012400,서울특별시,용산구,한강로동,Hangangno-dong,한강로1가,Hangangno 1(il)-ga,1117062500
1117012500,서울특별시,용산구,한강로동,Hangangno-dong,한강로2가,Hangangno 2(i)-ga,1117062500
1117012600,서울특별시,용산구,한강로동,Hangangno-dong,용산동3가,Yongsan-dong 3(sam)-ga,1117062500
1117012700,서울특별시,용산구,한강로동,Hangangno-dong,용산동5가,Yongsan-dong 5(o)-ga,1117062500
1117012800,서울특별시,용산구,한강로동,Hangangno-dong,한강로3가,Hangangno 3(sam)-ga,1117062500
1117012900,서울특별시,용산구,이촌1동,Ichon 1(il)-dong,이촌동,Ichon-dong,1117063000
1117012900,서울특별시,용산구,이촌2동,Ichon 2(i)-dong,이촌동,Ichon-dong,1117064000
1117013000,서울특별시,용산구,이태원1동,Itaewon 1(il)-dong,이태원동,Itaewon-dong,1117065000
1117013000,서울특별시,용산구,이태원2동,Itaewon 2(i)-dong,이태원동,Itaewon-dong,1117066000
1117013100,서울특별시,용산구,한남동,Hannam-dong,한남동,Hannam-dong,1117068500
1117013200,서울특별시,용산구,서빙고동,Seobinggo-dong,동빙고동,Dongbinggo-dong,1117069000
1117013300,서울특별시,용산구,서빙고동,Seobinggo-dong,서빙고동,Seobinggo-dong,1117069000
1117013400,서울특별시,용산구,서빙고동,Seobinggo-dong,주성동,Juseong-dong,1117069000
1117013500,서울특별시,용산구,서빙고동,Seobinggo-dong,용산동6가,Yongsan-dong 6(yuk)-ga,1117069000
1117013600,서울특별시,용산구,보광동,Bogwang-dong,보광동,Bogwang-dong,1117070000
1120000000,서울특별시,성동구,성동구,Seongdong-gu,성동구,,1120000000
1120010200,서울특별시,성동구,왕십리2동,Wangsimni 2(i)-dong,하왕십리동,Hawangsimni-dong,1120052000
1120010100,서울특별시,성동구,왕십리도선동,WangsimniDoseon-dong,상왕십리동,Sangwangsimni-dong,1120053500
1120010200,서울특별시,성동구,왕십리도선동,WangsimniDoseon-dong,하왕십리동,Hawangsimni-dong,1120053500
1120010300,서울특별시,성동구,왕십리도선동,WangsimniDoseon-dong,홍익동,Hongik-dong,1120053500
1120010400,서울특별시,성동구,왕십리도선동,WangsimniDoseon-dong,도선동,Doseon-dong,1120053500
1120010500,서울특별시,성동구,마장동,Majang-dong,마장동,Majang-dong,1120054000
1120010600,서울특별시,성동구,사근동,Sageun-dong,사근동,Sageun-dong,1120055000
1120010700,서울특별시,성동구,사근동,Sageun-dong,행당동,Haengdang-dong,1120055000
1120010700,서울특별시,성동구,행당1동,Haengdang 1(il)-dong,행당동,Haengdang-dong,1120056000
1120010700,서울특별시,성동구,행당2동,Haengdang 2(i)-dong,행당동,Haengdang-dong,1120057000
1120010800,서울특별시,성동구,응봉동,Eungbong-dong,응봉동,Eungbong-dong,1120058000
1120010900,서울특별시,성동구,금호1가동,Geumho 1(il)-ga-dong,금호동1가,Geumho-dong 1(il)-ga,1120059000
1120011000,서울특별시,성동구,금호2.3가동,Geumho 2.3(i.sam)-ga-dong,금호동2가,Geumho-dong 2(i)-ga,1120061500
1120011100,서울특별시,성동구,금호2.3가동,Geumho 2.3(i.sam)-ga-dong,금호동3가,Geumho-dong 3(sam)-ga,1120061500
1120011200,서울특별시,성동구,금호4가동,Geumho 4(sa)-ga-dong,금호동4가,Geumho-dong 4(sa)-ga,1120062000
1120011300,서울특별시,성동구,옥수동,Oksu-dong,옥수동,Oksu-dong,1120064500
1120011400,서울특별시,성동구,성수1가1동,Seongsu 1(il)-ga1(il)-dong,성수동1가,Seongsu-dong 1(il)-ga,1120065000
1120011400,서울특별시,성동구,성수1가2동,Seongsu 1(il)-ga2(i)-dong,성수동1가,Seongsu-dong 1(il)-ga,1120066000
1120011500,서울특별시,성동구,성수2가1동,Seongsu 2(i)-ga1(il)-dong,성수동2가,Seongsu-dong 2(i)-ga,1120067000
1120011500,서울특별시,성동구,성수2가3동,Seongsu 2(i)-ga 3(sam)-dong,성수동2가,Seongsu-dong 2(i)-ga,1120069000
1120011800,서울특별시,성동구,송정동,Songjeong-dong,송정동,Songjeong-dong,1120072000
1120011800,서울특별시,성동구,용답동,Yongdap-dong,송정동,Songjeong-dong,1120079000
1120012200,서울특별시,성동구,용답동,Yongdap-dong,용답동,Yongdap-dong,1120079000
1121500000,서울특별시,광진구,광진구,Gwangjin-gu,광진구,,1121500000
1121510700,서울특별시,광진구,화양동,Hwayang-dong,화양동,Hwayang-dong,1121571000
1121510900,서울특별시,광진구,군자동,Gunja-dong,군자동,Gunja-dong,1121573000
1121510100,서울특별시,광진구,중곡1동,Junggok 1(il)-dong,중곡동,Junggok-dong,1121574000
1121510100,서울특별시,광진구,중곡2동,Junggok 2(i)-dong,중곡동,Junggok-dong,1121575000
1121510100,서울특별시,광진구,중곡3동,Junggok 3(sam)-dong,중곡동,Junggok-dong,1121576000
1121510100,서울특별시,광진구,중곡4동,Junggok 4(sa)-dong,중곡동,Junggok-dong,1121577000
1121510200,서울특별시,광진구,능동,Neung-dong,능동,Neung-dong,1121578000
1121510400,서울특별시,광진구,광장동,Gwangjang-dong,광장동,Gwangjang-dong,1121581000
1121510500,서울특별시,광진구,자양1동,Jayang 1(il)-dong,자양동,Jayang-dong,1121582000
